,volume,time,Open,High,Low,Close,Pair
0,7226,2017-06-15T17:00:00.000000000Z,110.952,110.981,110.816,110.946,USD_JPY
1,7829,2017-06-15T21:00:00.000000000Z,110.951,111.152,110.844,111.086,USD_JPY
2,11242,2017-06-16T01:00:00.000000000Z,111.086,111.276,111.004,111.226,USD_JPY
3,12587,2017-06-16T05:00:00.000000000Z,111.226,111.383,111.056,111.328,USD_JPY
4,9224,2017-06-16T09:00:00.000000000Z,111.329,111.420,111.099,111.103,USD_JPY
5,17723,2017-06-16T13:00:00.000000000Z,111.103,111.129,110.644,110.825,USD_JPY
6,7734,2017-06-16T17:00:00.000000000Z,110.827,110.904,110.764,110.890,USD_JPY
7,4583,2017-06-18T21:00:00.000000000Z,110.914,111.134,110.756,111.066,USD_JPY
8,5582,2017-06-19T01:00:00.000000000Z,111.065,111.095,110.944,110.982,USD_JPY
9,7910,2017-06-19T05:00:00.000000000Z,110.976,111.212,110.911,111.028,USD_JPY
10,9698,2017-06-19T09:00:00.000000000Z,111.027,111.336,110.908,111.264,USD_JPY
11,11991,2017-06-19T13:00:00.000000000Z,111.264,111.473,111.226,111.422,USD_JPY
12,6408,2017-06-19T17:00:00.000000000Z,111.427,111.602,111.424,111.536,USD_JPY
13,13052,2017-06-19T21:00:00.000000000Z,111.540,111.775,111.512,111.722,USD_JPY
14,4617,2017-06-20T01:00:00.000000000Z,111.721,111.753,111.620,111.662,USD_JPY
15,8197,2017-06-20T05:00:00.000000000Z,111.662,111.793,111.544,111.594,USD_JPY
16,9842,2017-06-20T09:00:00.000000000Z,111.598,111.658,111.310,111.472,USD_JPY
17,13935,2017-06-20T13:00:00.000000000Z,111.472,111.728,111.394,111.462,USD_JPY
18,6811,2017-06-20T17:00:00.000000000Z,111.458,111.568,111.379,111.462,USD_JPY
19,15441,2017-06-20T21:00:00.000000000Z,111.463,111.495,111.256,111.374,USD_JPY
20,5579,2017-06-21T01:00:00.000000000Z,111.374,111.419,111.190,111.282,USD_JPY
21,8240,2017-06-21T05:00:00.000000000Z,111.286,111.332,111.081,111.186,USD_JPY
22,9201,2017-06-21T09:00:00.000000000Z,111.186,111.602,111.072,111.548,USD_JPY
23,15079,2017-06-21T13:00:00.000000000Z,111.548,111.740,111.352,111.372,USD_JPY
24,8264,2017-06-21T17:00:00.000000000Z,111.371,111.440,111.242,111.374,USD_JPY
25,16897,2017-06-21T21:00:00.000000000Z,111.358,111.439,111.111,111.134,USD_JPY
26,7515,2017-06-22T01:00:00.000000000Z,111.134,111.177,110.954,111.111,USD_JPY
27,8798,2017-06-22T05:00:00.000000000Z,111.110,111.176,110.956,111.093,USD_JPY
28,9015,2017-06-22T09:00:00.000000000Z,111.090,111.378,111.031,111.128,USD_JPY
