,volume,time,Open,High,Low,Close,Pair
0,138,2020-08-25T07:03:00.000000000Z,1.18006,1.18022,1.17996,1.18018,EUR_USD
1,252,2020-08-25T07:04:00.000000000Z,1.18016,1.18082,1.18016,1.18082,EUR_USD
2,148,2020-08-25T07:05:00.000000000Z,1.18083,1.18085,1.18062,1.18068,EUR_USD
3,134,2020-08-25T07:06:00.000000000Z,1.18066,1.18067,1.18046,1.18056,EUR_USD
4,89,2020-08-25T07:07:00.000000000Z,1.18054,1.18061,1.18052,1.18059,EUR_USD
5,108,2020-08-25T07:08:00.000000000Z,1.18060,1.18070,1.18048,1.18067,EUR_USD
6,125,2020-08-25T07:09:00.000000000Z,1.18068,1.18076,1.18064,1.18074,EUR_USD
7,172,2020-08-25T07:10:00.000000000Z,1.18076,1.18112,1.18062,1.18103,EUR_USD
8,167,2020-08-25T07:11:00.000000000Z,1.18105,1.18116,1.18092,1.18116,EUR_USD
9,244,2020-08-25T07:12:00.000000000Z,1.18118,1.18178,1.18115,1.18166,EUR_USD
10,131,2020-08-25T07:13:00.000000000Z,1.18165,1.18168,1.18158,1.18163,EUR_USD
11,188,2020-08-25T07:14:00.000000000Z,1.18162,1.18172,1.18153,1.18156,EUR_USD
12,212,2020-08-25T07:15:00.000000000Z,1.18156,1.18158,1.18128,1.18134,EUR_USD
13,140,2020-08-25T07:16:00.000000000Z,1.18132,1.18144,1.18132,1.18134,EUR_USD
14,143,2020-08-25T07:17:00.000000000Z,1.18135,1.18148,1.18131,1.18141,EUR_USD
15,108,2020-08-25T07:18:00.000000000Z,1.18140,1.18151,1.18134,1.18136,EUR_USD
16,136,2020-08-25T07:19:00.000000000Z,1.18135,1.18148,1.18132,1.18134,EUR_USD
17,115,2020-08-25T07:20:00.000000000Z,1.18136,1.18150,1.18130,1.18146,EUR_USD
18,80,2020-08-25T07:21:00.000000000Z,1.18144,1.18161,1.18144,1.18161,EUR_USD
19,136,2020-08-25T07:22:00.000000000Z,1.18160,1.18176,1.18156,1.18156,EUR_USD
20,118,2020-08-25T07:23:00.000000000Z,1.18158,1.18166,1.18152,1.18160,EUR_USD
21,75,2020-08-25T07:24:00.000000000Z,1.18161,1.18162,1.18136,1.18138,EUR_USD
22,113,2020-08-25T07:25:00.000000000Z,1.18140,1.18162,1.18136,1.18160,EUR_USD
23,88,2020-08-25T07:26:00.000000000Z,1.18161,1.18174,1.18152,1.18152,EUR_USD
24,88,2020-08-25T07:27:00.000000000Z,1.18150,1.18160,1.18132,1.18132,EUR_USD
25,80,2020-08-25T07:28:00.000000000Z,1.18131,1.18134,1.18122,1.18122,EUR_USD
26,128,2020-08-25T07:29:00.000000000Z,1.18122,1.18136,1.18118,1.18130,EUR_USD
27,185,2020-08-25T07:30:00.000000000Z,1.18132,1.18181,1.18130,1.18170,EUR_USD
28,99,2020-08-25T07:31:00.000000000Z,1.18170,1.18186,1.18166,1.18176,EUR_USD
29,119,2020-08-25T07:32:00.000000000Z,1.18178,1.18180,1.18172,1.18176,EUR_USD
30,103,2020-08-25T07:33:00.000000000Z,1.18176,1.18187,1.18172,1.18177,EUR_USD
31,110,2020-08-25T07:34:00.000000000Z,1.18179,1.18194,1.18170,1.18170,EUR_USD
32,153,2020-08-25T07:35:00.000000000Z,1.18170,1.18170,1.18152,1.18162,EUR_USD
33,109,2020-08-25T07:36:00.000000000Z,1.18164,1.18178,1.18161,1.18176,EUR_USD
34,92,2020-08-25T07:37:00.000000000Z,1.18174,1.18191,1.18173,1.18188,EUR_USD
35,71,2020-08-25T07:38:00.000000000Z,1.18189,1.18203,1.18188,1.18198,EUR_USD
36,165,2020-08-25T07:39:00.000000000Z,1.18199,1.18226,1.18193,1.18224,EUR_USD
37,100,2020-08-25T07:40:00.000000000Z,1.18225,1.18225,1.18202,1.18208,EUR_USD
38,146,2020-08-25T07:41:00.000000000Z,1.18208,1.18208,1.18179,1.18191,EUR_USD
39,132,2020-08-25T07:42:00.000000000Z,1.18192,1.18216,1.18192,1.18208,EUR_USD
40,120,2020-08-25T07:43:00.000000000Z,1.18206,1.18222,1.18198,1.18220,EUR_USD
41,103,2020-08-25T07:44:00.000000000Z,1.18221,1.18232,1.18215,1.18216,EUR_USD
42,120,2020-08-25T07:45:00.000000000Z,1.18214,1.18216,1.18188,1.18210,EUR_USD
43,93,2020-08-25T07:46:00.000000000Z,1.18208,1.18218,1.18204,1.18208,EUR_USD
44,72,2020-08-25T07:47:00.000000000Z,1.18207,1.18221,1.18204,1.18207,EUR_USD
45,88,2020-08-25T07:48:00.000000000Z,1.18206,1.18206,1.18184,1.18194,EUR_USD
46,105,2020-08-25T07:49:00.000000000Z,1.18195,1.18218,1.18192,1.18216,EUR_USD
47,79,2020-08-25T07:50:00.000000000Z,1.18218,1.18234,1.18210,1.18227,EUR_USD
48,113,2020-08-25T07:51:00.000000000Z,1.18228,1.18246,1.18226,1.18234,EUR_USD
49,99,2020-08-25T07:52:00.000000000Z,1.18235,1.18252,1.18235,1.18250,EUR_USD
50,190,2020-08-25T07:53:00.000000000Z,1.18252,1.18277,1.18250,1.18276,EUR_USD
51,129,2020-08-25T07:54:00.000000000Z,1.18274,1.18275,1.18265,1.18267,EUR_USD
52,54,2020-08-25T07:55:00.000000000Z,1.18265,1.18282,1.18264,1.18279,EUR_USD
53,120,2020-08-25T07:56:00.000000000Z,1.18278,1.18281,1.18264,1.18268,EUR_USD
54,80,2020-08-25T07:57:00.000000000Z,1.18267,1.18286,1.18263,1.18278,EUR_USD
55,106,2020-08-25T07:58:00.000000000Z,1.18279,1.18298,1.18279,1.18294,EUR_USD
56,116,2020-08-25T07:59:00.000000000Z,1.18292,1.18292,1.18249,1.18270,EUR_USD
57,247,2020-08-25T08:00:00.000000000Z,1.18268,1.18340,1.18260,1.18304,EUR_USD
58,163,2020-08-25T08:01:00.000000000Z,1.18305,1.18314,1.18268,1.18286,EUR_USD
59,196,2020-08-25T08:02:00.000000000Z,1.18284,1.18331,1.18283,1.18306,EUR_USD
60,182,2020-08-25T08:03:00.000000000Z,1.18304,1.18348,1.18304,1.18348,EUR_USD
61,163,2020-08-25T08:04:00.000000000Z,1.18350,1.18351,1.18312,1.18314,EUR_USD
62,195,2020-08-25T08:05:00.000000000Z,1.18314,1.18316,1.18287,1.18287,EUR_USD
63,174,2020-08-25T08:06:00.000000000Z,1.18286,1.18311,1.18286,1.18302,EUR_USD
64,175,2020-08-25T08:07:00.000000000Z,1.18300,1.18335,1.18297,1.18321,EUR_USD
65,170,2020-08-25T08:08:00.000000000Z,1.18320,1.18321,1.18282,1.18287,EUR_USD
66,163,2020-08-25T08:09:00.000000000Z,1.18288,1.18305,1.18274,1.18302,EUR_USD
67,185,2020-08-25T08:10:00.000000000Z,1.18301,1.18306,1.18266,1.18268,EUR_USD
68,169,2020-08-25T08:11:00.000000000Z,1.18269,1.18273,1.18256,1.18268,EUR_USD
69,133,2020-08-25T08:12:00.000000000Z,1.18268,1.18269,1.18253,1.18266,EUR_USD
