,volume,time,Open,High,Low,Close,Pair
0,208,2019-11-08T12:00:00.000000000Z,0.68664,0.68708,0.68650,0.68663,AUD_USD
1,266,2019-11-08T13:00:00.000000000Z,0.68666,0.68691,0.68629,0.68654,AUD_USD
2,280,2019-11-08T14:00:00.000000000Z,0.68650,0.68661,0.68526,0.68534,AUD_USD
3,493,2019-11-08T15:00:00.000000000Z,0.68538,0.68660,0.68509,0.68601,AUD_USD
4,219,2019-11-08T16:00:00.000000000Z,0.68598,0.68598,0.68511,0.68534,AUD_USD
5,111,2019-11-08T17:00:00.000000000Z,0.68530,0.68538,0.68477,0.68526,AUD_USD
6,83,2019-11-08T18:00:00.000000000Z,0.68530,0.68577,0.68514,0.68546,AUD_USD
7,74,2019-11-08T19:00:00.000000000Z,0.68549,0.68572,0.68546,0.68546,AUD_USD
8,46,2019-11-08T20:00:00.000000000Z,0.68550,0.68578,0.68550,0.68567,AUD_USD
9,77,2019-11-08T21:00:00.000000000Z,0.68564,0.68600,0.68564,0.68594,AUD_USD
10,95,2019-11-10T22:00:00.000000000Z,0.68576,0.68596,0.68556,0.68556,AUD_USD
11,78,2019-11-10T23:00:00.000000000Z,0.68560,0.68610,0.68560,0.68576,AUD_USD
12,123,2019-11-11T00:00:00.000000000Z,0.68573,0.68606,0.68536,0.68548,AUD_USD
13,199,2019-11-11T01:00:00.000000000Z,0.68552,0.68576,0.68520,0.68527,AUD_USD
14,150,2019-11-11T02:00:00.000000000Z,0.68524,0.68530,0.68484,0.68520,AUD_USD
15,109,2019-11-11T03:00:00.000000000Z,0.68523,0.68586,0.68512,0.68551,AUD_USD
16,73,2019-11-11T04:00:00.000000000Z,0.68554,0.68562,0.68502,0.68528,AUD_USD
17,69,2019-11-11T05:00:00.000000000Z,0.68526,0.68569,0.68522,0.68569,AUD_USD
18,143,2019-11-11T06:00:00.000000000Z,0.68566,0.68566,0.68491,0.68531,AUD_USD
19,174,2019-11-11T07:00:00.000000000Z,0.68534,0.68584,0.68527,0.68580,AUD_USD
20,214,2019-11-11T08:00:00.000000000Z,0.68582,0.68616,0.68549,0.68616,AUD_USD
21,300,2019-11-11T09:00:00.000000000Z,0.68612,0.68635,0.68545,0.68612,AUD_USD
22,100,2019-11-11T10:00:00.000000000Z,0.68608,0.68654,0.68598,0.68609,AUD_USD
23,113,2019-11-11T11:00:00.000000000Z,0.68613,0.68614,0.68528,0.68532,AUD_USD
24,225,2019-11-11T12:00:00.000000000Z,0.68528,0.68569,0.68494,0.68538,AUD_USD
25,137,2019-11-11T13:00:00.000000000Z,0.68535,0.68571,0.68512,0.68562,AUD_USD
26,166,2019-11-11T14:00:00.000000000Z,0.68565,0.68571,0.68516,0.68524,AUD_USD
27,200,2019-11-11T15:00:00.000000000Z,0.68520,0.68520,0.68472,0.68487,AUD_USD
28,112,2019-11-11T16:00:00.000000000Z,0.68490,0.68520,0.68480,0.68491,AUD_USD
29,78,2019-11-11T17:00:00.000000000Z,0.68494,0.68548,0.68488,0.68539,AUD_USD
30,86,2019-11-11T18:00:00.000000000Z,0.68542,0.68568,0.68507,0.68562,AUD_USD
31,49,2019-11-11T19:00:00.000000000Z,0.68564,0.68582,0.68530,0.68530,AUD_USD
32,65,2019-11-11T20:00:00.000000000Z,0.68534,0.68538,0.68502,0.68517,AUD_USD
33,54,2019-11-11T21:00:00.000000000Z,0.68520,0.68524,0.68498,0.68508,AUD_USD
34,52,2019-11-11T22:00:00.000000000Z,0.68504,0.68504,0.68456,0.68457,AUD_USD
35,121,2019-11-11T23:00:00.000000000Z,0.68460,0.68518,0.68460,0.68484,AUD_USD
36,189,2019-11-12T00:00:00.000000000Z,0.68481,0.68538,0.68474,0.68538,AUD_USD
37,218,2019-11-12T01:00:00.000000000Z,0.68534,0.68540,0.68420,0.68430,AUD_USD
38,340,2019-11-12T02:00:00.000000000Z,0.68426,0.68426,0.68322,0.68379,AUD_USD
39,259,2019-11-12T03:00:00.000000000Z,0.68382,0.68458,0.68370,0.68426,AUD_USD
40,126,2019-11-12T04:00:00.000000000Z,0.68430,0.68480,0.68410,0.68463,AUD_USD
41,123,2019-11-12T05:00:00.000000000Z,0.68459,0.68518,0.68456,0.68512,AUD_USD
42,165,2019-11-12T06:00:00.000000000Z,0.68508,0.68562,0.68501,0.68552,AUD_USD
43,206,2019-11-12T07:00:00.000000000Z,0.68548,0.68572,0.68513,0.68516,AUD_USD
44,310,2019-11-12T08:00:00.000000000Z,0.68513,0.68513,0.68377,0.68424,AUD_USD
45,216,2019-11-12T09:00:00.000000000Z,0.68420,0.68456,0.68360,0.68416,AUD_USD
46,248,2019-11-12T10:00:00.000000000Z,0.68420,0.68439,0.68342,0.68364,AUD_USD
47,168,2019-11-12T11:00:00.000000000Z,0.68360,0.68412,0.68342,0.68398,AUD_USD
48,204,2019-11-12T12:00:00.000000000Z,0.68394,0.68480,0.68384,0.68477,AUD_USD
49,287,2019-11-12T13:00:00.000000000Z,0.68474,0.68502,0.68427,0.68476,AUD_USD
50,232,2019-11-12T14:00:00.000000000Z,0.68479,0.68494,0.68389,0.68389,AUD_USD
51,305,2019-11-12T15:00:00.000000000Z,0.68392,0.68442,0.68318,0.68426,AUD_USD
52,288,2019-11-12T16:00:00.000000000Z,0.68422,0.68460,0.68366,0.68458,AUD_USD
53,323,2019-11-12T17:00:00.000000000Z,0.68454,0.68491,0.68396,0.68450,AUD_USD
54,220,2019-11-12T18:00:00.000000000Z,0.68453,0.68474,0.68411,0.68416,AUD_USD
55,151,2019-11-12T19:00:00.000000000Z,0.68412,0.68450,0.68398,0.68436,AUD_USD
56,101,2019-11-12T20:00:00.000000000Z,0.68439,0.68447,0.68398,0.68423,AUD_USD
57,59,2019-11-12T21:00:00.000000000Z,0.68420,0.68422,0.68390,0.68413,AUD_USD
58,65,2019-11-12T22:00:00.000000000Z,0.68406,0.68420,0.68392,0.68392,AUD_USD
59,116,2019-11-12T23:00:00.000000000Z,0.68395,0.68446,0.68392,0.68417,AUD_USD
60,222,2019-11-13T00:00:00.000000000Z,0.68414,0.68416,0.68308,0.68333,AUD_USD
61,1272,2019-11-13T01:00:00.000000000Z,0.68336,0.68572,0.68336,0.68398,AUD_USD
62,348,2019-11-13T02:00:00.000000000Z,0.68402,0.68426,0.68337,0.68409,AUD_USD
63,236,2019-11-13T03:00:00.000000000Z,0.68406,0.68430,0.68358,0.68378,AUD_USD
64,152,2019-11-13T04:00:00.000000000Z,0.68381,0.68446,0.68378,0.68434,AUD_USD
65,124,2019-11-13T05:00:00.000000000Z,0.68430,0.68455,0.68423,0.68439,AUD_USD
66,172,2019-11-13T06:00:00.000000000Z,0.68442,0.68491,0.68420,0.68466,AUD_USD
67,214,2019-11-13T07:00:00.000000000Z,0.68470,0.68476,0.68427,0.68457,AUD_USD
