,volume,time,Open,High,Low,Close,Pair
0,2013,2020-04-06T15:30:00.000000000Z,1.41462,1.41464,1.41133,1.41282,USD_CAD
1,1511,2020-04-06T16:00:00.000000000Z,1.41280,1.41319,1.41114,1.41114,USD_CAD
2,1084,2020-04-06T16:30:00.000000000Z,1.41112,1.41212,1.41064,1.41096,USD_CAD
3,829,2020-04-06T17:00:00.000000000Z,1.41094,1.41193,1.41074,1.41162,USD_CAD
4,999,2020-04-06T17:30:00.000000000Z,1.41160,1.41176,1.41002,1.41021,USD_CAD
5,795,2020-04-06T18:00:00.000000000Z,1.41018,1.41187,1.41000,1.41174,USD_CAD
6,678,2020-04-06T18:30:00.000000000Z,1.41172,1.41244,1.41134,1.41176,USD_CAD
7,1458,2020-04-06T19:00:00.000000000Z,1.41178,1.41212,1.41066,1.41154,USD_CAD
8,1417,2020-04-06T19:30:00.000000000Z,1.41157,1.41202,1.40996,1.41116,USD_CAD
9,729,2020-04-06T20:00:00.000000000Z,1.41113,1.41132,1.40956,1.41022,USD_CAD
10,797,2020-04-06T20:30:00.000000000Z,1.41024,1.41166,1.40999,1.41114,USD_CAD
11,24,2020-04-06T21:00:00.000000000Z,1.41114,1.41126,1.41094,1.41096,USD_CAD
12,49,2020-04-06T21:30:00.000000000Z,1.41100,1.41124,1.41088,1.41116,USD_CAD
13,291,2020-04-06T22:00:00.000000000Z,1.41112,1.41256,1.41046,1.41226,USD_CAD
14,614,2020-04-06T22:30:00.000000000Z,1.41222,1.41426,1.41158,1.41414,USD_CAD
15,709,2020-04-06T23:00:00.000000000Z,1.41411,1.41432,1.41228,1.41250,USD_CAD
16,744,2020-04-06T23:30:00.000000000Z,1.41252,1.41259,1.41094,1.41132,USD_CAD
17,1197,2020-04-07T00:00:00.000000000Z,1.41129,1.41140,1.40969,1.40991,USD_CAD
18,836,2020-04-07T00:30:00.000000000Z,1.40988,1.41232,1.40983,1.41129,USD_CAD
19,529,2020-04-07T01:00:00.000000000Z,1.41126,1.41178,1.41026,1.41090,USD_CAD
20,676,2020-04-07T01:30:00.000000000Z,1.41086,1.41108,1.40872,1.40901,USD_CAD
21,572,2020-04-07T02:00:00.000000000Z,1.40904,1.41003,1.40830,1.40962,USD_CAD
22,547,2020-04-07T02:30:00.000000000Z,1.40965,1.41012,1.40899,1.40968,USD_CAD
23,464,2020-04-07T03:00:00.000000000Z,1.40970,1.41012,1.40879,1.40928,USD_CAD
24,472,2020-04-07T03:30:00.000000000Z,1.40926,1.41084,1.40920,1.41058,USD_CAD
25,429,2020-04-07T04:00:00.000000000Z,1.41062,1.41069,1.40954,1.40958,USD_CAD
26,1223,2020-04-07T04:30:00.000000000Z,1.40954,1.40998,1.40544,1.40594,USD_CAD
