,volume,time,Open,High,Low,Close,Pair
0,548,2019-11-08T12:00:00.000000000Z,1.31908,1.32006,1.31857,1.31964,USD_CAD
1,2056,2019-11-08T13:00:00.000000000Z,1.31966,1.32316,1.31956,1.32229,USD_CAD
2,939,2019-11-08T14:00:00.000000000Z,1.32232,1.32369,1.32210,1.32318,USD_CAD
3,1669,2019-11-08T15:00:00.000000000Z,1.32314,1.32354,1.32130,1.32152,USD_CAD
4,651,2019-11-08T16:00:00.000000000Z,1.32149,1.32261,1.32149,1.32186,USD_CAD
5,406,2019-11-08T17:00:00.000000000Z,1.32188,1.32272,1.32174,1.32254,USD_CAD
6,310,2019-11-08T18:00:00.000000000Z,1.32256,1.32289,1.32245,1.32275,USD_CAD
7,279,2019-11-08T19:00:00.000000000Z,1.32273,1.32302,1.32244,1.32281,USD_CAD
8,243,2019-11-08T20:00:00.000000000Z,1.32279,1.32308,1.32270,1.32274,USD_CAD
9,277,2019-11-08T21:00:00.000000000Z,1.32272,1.32290,1.32238,1.32274,USD_CAD
10,38,2019-11-10T22:00:00.000000000Z,1.32222,1.32246,1.32210,1.32246,USD_CAD
11,108,2019-11-10T23:00:00.000000000Z,1.32249,1.32291,1.32246,1.32272,USD_CAD
12,146,2019-11-11T00:00:00.000000000Z,1.32269,1.32302,1.32252,1.32296,USD_CAD
13,186,2019-11-11T01:00:00.000000000Z,1.32294,1.32320,1.32282,1.32313,USD_CAD
14,189,2019-11-11T02:00:00.000000000Z,1.32310,1.32332,1.32296,1.32304,USD_CAD
15,122,2019-11-11T03:00:00.000000000Z,1.32306,1.32325,1.32284,1.32312,USD_CAD
16,61,2019-11-11T04:00:00.000000000Z,1.32310,1.32322,1.32286,1.32315,USD_CAD
17,111,2019-11-11T05:00:00.000000000Z,1.32317,1.32322,1.32258,1.32259,USD_CAD
18,255,2019-11-11T06:00:00.000000000Z,1.32261,1.32343,1.32254,1.32292,USD_CAD
19,343,2019-11-11T07:00:00.000000000Z,1.32290,1.32310,1.32222,1.32234,USD_CAD
20,326,2019-11-11T08:00:00.000000000Z,1.32232,1.32280,1.32232,1.32245,USD_CAD
21,499,2019-11-11T09:00:00.000000000Z,1.32247,1.32302,1.32198,1.32220,USD_CAD
22,262,2019-11-11T10:00:00.000000000Z,1.32222,1.32234,1.32179,1.32217,USD_CAD
23,344,2019-11-11T11:00:00.000000000Z,1.32214,1.32298,1.32212,1.32291,USD_CAD
24,452,2019-11-11T12:00:00.000000000Z,1.32288,1.32314,1.32242,1.32280,USD_CAD
25,394,2019-11-11T13:00:00.000000000Z,1.32282,1.32350,1.32270,1.32272,USD_CAD
26,573,2019-11-11T14:00:00.000000000Z,1.32276,1.32305,1.32198,1.32216,USD_CAD
27,626,2019-11-11T15:00:00.000000000Z,1.32218,1.32250,1.32140,1.32145,USD_CAD
28,521,2019-11-11T16:00:00.000000000Z,1.32147,1.32248,1.32126,1.32226,USD_CAD
29,381,2019-11-11T17:00:00.000000000Z,1.32228,1.32246,1.32138,1.32157,USD_CAD
30,217,2019-11-11T18:00:00.000000000Z,1.32160,1.32184,1.32140,1.32176,USD_CAD
31,174,2019-11-11T19:00:00.000000000Z,1.32179,1.32240,1.32166,1.32235,USD_CAD
32,228,2019-11-11T20:00:00.000000000Z,1.32238,1.32259,1.32222,1.32252,USD_CAD
