,volume,time,Open,High,Low,Close,Pair
0,2675,2020-04-06T16:00:00.000000000Z,1.08068,1.08084,1.07938,1.08046,EUR_USD
1,2532,2020-04-06T16:30:00.000000000Z,1.08046,1.08049,1.07958,1.08020,EUR_USD
2,2087,2020-04-06T17:00:00.000000000Z,1.08022,1.08060,1.07916,1.07916,EUR_USD
3,1644,2020-04-06T17:30:00.000000000Z,1.07918,1.08022,1.07883,1.07997,EUR_USD
4,1492,2020-04-06T18:00:00.000000000Z,1.07996,1.08030,1.07957,1.07970,EUR_USD
5,1566,2020-04-06T18:30:00.000000000Z,1.07972,1.08021,1.07960,1.07962,EUR_USD
6,2911,2020-04-06T19:00:00.000000000Z,1.07964,1.07989,1.07828,1.07916,EUR_USD
7,2744,2020-04-06T19:30:00.000000000Z,1.07917,1.07984,1.07856,1.07980,EUR_USD
8,749,2020-04-06T20:00:00.000000000Z,1.07982,1.07998,1.07946,1.07962,EUR_USD
9,572,2020-04-06T20:30:00.000000000Z,1.07964,1.07971,1.07902,1.07930,EUR_USD
10,24,2020-04-06T21:00:00.000000000Z,1.07930,1.07955,1.07926,1.07948,EUR_USD
11,40,2020-04-06T21:30:00.000000000Z,1.07938,1.07976,1.07936,1.07940,EUR_USD
12,563,2020-04-06T22:00:00.000000000Z,1.07938,1.07960,1.07836,1.07846,EUR_USD
13,687,2020-04-06T22:30:00.000000000Z,1.07848,1.07908,1.07841,1.07850,EUR_USD
14,633,2020-04-06T23:00:00.000000000Z,1.07852,1.07960,1.07846,1.07934,EUR_USD
15,601,2020-04-06T23:30:00.000000000Z,1.07932,1.08021,1.07930,1.07989,EUR_USD
16,1017,2020-04-07T00:00:00.000000000Z,1.07990,1.08021,1.07960,1.08003,EUR_USD
17,1174,2020-04-07T00:30:00.000000000Z,1.08001,1.08001,1.07906,1.07938,EUR_USD
18,804,2020-04-07T01:00:00.000000000Z,1.07940,1.08020,1.07911,1.08006,EUR_USD
19,995,2020-04-07T01:30:00.000000000Z,1.08008,1.08096,1.08000,1.08067,EUR_USD
20,878,2020-04-07T02:00:00.000000000Z,1.08066,1.08099,1.08046,1.08076,EUR_USD
21,768,2020-04-07T02:30:00.000000000Z,1.08077,1.08090,1.08042,1.08080,EUR_USD
22,642,2020-04-07T03:00:00.000000000Z,1.08082,1.08153,1.08070,1.08120,EUR_USD
23,843,2020-04-07T03:30:00.000000000Z,1.08122,1.08187,1.08118,1.08148,EUR_USD
24,673,2020-04-07T04:00:00.000000000Z,1.08146,1.08170,1.08116,1.08145,EUR_USD
25,1405,2020-04-07T04:30:00.000000000Z,1.08143,1.08304,1.08140,1.08262,EUR_USD
26,1024,2020-04-07T05:00:00.000000000Z,1.08264,1.08292,1.08210,1.08276,EUR_USD
27,1810,2020-04-07T05:30:00.000000000Z,1.08274,1.08407,1.08244,1.08292,EUR_USD
28,2955,2020-04-07T06:00:00.000000000Z,1.08292,1.08377,1.08232,1.08306,EUR_USD
29,3912,2020-04-07T06:30:00.000000000Z,1.08304,1.08621,1.08270,1.08590,EUR_USD
30,5190,2020-04-07T07:00:00.000000000Z,1.08592,1.08772,1.08542,1.08741,EUR_USD
31,4033,2020-04-07T07:30:00.000000000Z,1.08742,1.08786,1.08631,1.08778,EUR_USD
32,3125,2020-04-07T08:00:00.000000000Z,1.08779,1.08781,1.08646,1.08691,EUR_USD
33,2805,2020-04-07T08:30:00.000000000Z,1.08690,1.08692,1.08519,1.08682,EUR_USD
34,3264,2020-04-07T09:00:00.000000000Z,1.08681,1.08790,1.08632,1.08728,EUR_USD
