,volume,time,Open,High,Low,Close,Pair
0,72,2020-08-05T09:55:00.000000000Z,0.72148,0.72181,0.72138,0.72168,AUD_USD
1,85,2020-08-05T10:00:00.000000000Z,0.72165,0.72199,0.72160,0.72198,AUD_USD
2,63,2020-08-05T10:05:00.000000000Z,0.72195,0.72209,0.72182,0.72182,AUD_USD
3,65,2020-08-05T10:10:00.000000000Z,0.72186,0.72208,0.72166,0.72172,AUD_USD
4,92,2020-08-05T10:15:00.000000000Z,0.72176,0.72194,0.72106,0.72135,AUD_USD
5,57,2020-08-05T10:20:00.000000000Z,0.72138,0.72149,0.72122,0.72132,AUD_USD
6,44,2020-08-05T10:25:00.000000000Z,0.72136,0.72150,0.72107,0.72123,AUD_USD
7,49,2020-08-05T10:30:00.000000000Z,0.72126,0.72134,0.72097,0.72100,AUD_USD
8,56,2020-08-05T10:35:00.000000000Z,0.72096,0.72104,0.72070,0.72087,AUD_USD
9,48,2020-08-05T10:40:00.000000000Z,0.72084,0.72123,0.72084,0.72123,AUD_USD
10,49,2020-08-05T10:45:00.000000000Z,0.72119,0.72147,0.72088,0.72091,AUD_USD
11,70,2020-08-05T10:50:00.000000000Z,0.72088,0.72092,0.72057,0.72063,AUD_USD
12,35,2020-08-05T10:55:00.000000000Z,0.72066,0.72106,0.72066,0.72106,AUD_USD
13,60,2020-08-05T11:00:00.000000000Z,0.72103,0.72130,0.72093,0.72122,AUD_USD
14,50,2020-08-05T11:05:00.000000000Z,0.72126,0.72129,0.72080,0.72102,AUD_USD
15,46,2020-08-05T11:10:00.000000000Z,0.72105,0.72120,0.72080,0.72101,AUD_USD
16,50,2020-08-05T11:15:00.000000000Z,0.72104,0.72116,0.72084,0.72104,AUD_USD
17,49,2020-08-05T11:20:00.000000000Z,0.72101,0.72136,0.72079,0.72136,AUD_USD
18,60,2020-08-05T11:25:00.000000000Z,0.72140,0.72182,0.72140,0.72152,AUD_USD
19,63,2020-08-05T11:30:00.000000000Z,0.72155,0.72206,0.72150,0.72189,AUD_USD
20,53,2020-08-05T11:35:00.000000000Z,0.72192,0.72220,0.72175,0.72213,AUD_USD
21,60,2020-08-05T11:40:00.000000000Z,0.72210,0.72226,0.72167,0.72167,AUD_USD
22,44,2020-08-05T11:45:00.000000000Z,0.72164,0.72193,0.72156,0.72188,AUD_USD
23,57,2020-08-05T11:50:00.000000000Z,0.72184,0.72226,0.72178,0.72226,AUD_USD
24,57,2020-08-05T11:55:00.000000000Z,0.72222,0.72243,0.72192,0.72243,AUD_USD
25,69,2020-08-05T12:00:00.000000000Z,0.72240,0.72244,0.72206,0.72212,AUD_USD
26,53,2020-08-05T12:05:00.000000000Z,0.72214,0.72232,0.72192,0.72230,AUD_USD
27,40,2020-08-05T12:10:00.000000000Z,0.72226,0.72229,0.72205,0.72216,AUD_USD
28,126,2020-08-05T12:15:00.000000000Z,0.72210,0.72239,0.72158,0.72186,AUD_USD
29,134,2020-08-05T12:20:00.000000000Z,0.72189,0.72232,0.72176,0.72211,AUD_USD
30,127,2020-08-05T12:25:00.000000000Z,0.72208,0.72359,0.72207,0.72340,AUD_USD
31,157,2020-08-05T12:30:00.000000000Z,0.72336,0.72336,0.72250,0.72294,AUD_USD
32,125,2020-08-05T12:35:00.000000000Z,0.72297,0.72300,0.72219,0.72225,AUD_USD
33,99,2020-08-05T12:40:00.000000000Z,0.72229,0.72249,0.72206,0.72237,AUD_USD
34,109,2020-08-05T12:45:00.000000000Z,0.72240,0.72273,0.72226,0.72263,AUD_USD
35,82,2020-08-05T12:50:00.000000000Z,0.72260,0.72268,0.72218,0.72232,AUD_USD
36,95,2020-08-05T12:55:00.000000000Z,0.72236,0.72286,0.72206,0.72281,AUD_USD
37,139,2020-08-05T13:00:00.000000000Z,0.72284,0.72288,0.72228,0.72236,AUD_USD
38,104,2020-08-05T13:05:00.000000000Z,0.72232,0.72273,0.72216,0.72234,AUD_USD
39,98,2020-08-05T13:10:00.000000000Z,0.72238,0.72280,0.72238,0.72264,AUD_USD
40,102,2020-08-05T13:15:00.000000000Z,0.72268,0.72286,0.72236,0.72262,AUD_USD
41,86,2020-08-05T13:20:00.000000000Z,0.72258,0.72322,0.72258,0.72317,AUD_USD
42,84,2020-08-05T13:25:00.000000000Z,0.72314,0.72328,0.72276,0.72276,AUD_USD
43,141,2020-08-05T13:30:00.000000000Z,0.72272,0.72326,0.72253,0.72322,AUD_USD
44,118,2020-08-05T13:35:00.000000000Z,0.72324,0.72344,0.72314,0.72328,AUD_USD
45,132,2020-08-05T13:40:00.000000000Z,0.72332,0.72358,0.72288,0.72288,AUD_USD
